Loại,Nhóm,Bộ ,,Thành phần trong 1 bộ ,Đơn giá bộ ,Công ty ,Hãng,Nước sản xuất,% thầu 2025,SL thầu,2025,Tổng,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
,C00046.1,"Bộ khớp háng toàn phần không xi măng, góc cổ thân chuôi 130 độ loại 2",Khớp háng toàn phần 18,4,"65,000,000",CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ KINDAKARE,Waldemar Link GmbH & Co. KG-Đức,Đức,40.00,10,4,4,2,1,1,0,0,0,0,0,0,0,0,0
,C00044.3,"Bộ khớp háng toàn phần không xi măng, ổ cối in 3D, thân chuôi phủ HA",Khớp háng toàn phần 19,3,"100,000,000",CÔNG TY CỔ PHẦN ĐẦU TƯ TRÍ NGUYỄN,Adler Ortho S.p.A,Ý,111.11,18,20,20,8,3,9,0,0,0,0,0,0,0,0,0
,C00101.4,"Bộ khớp háng toàn phần thay lại không xi măng, dạng mô đun loại 2",Khớp háng toàn phần 20,8,"135,000,000",CÔNG TY TNHH HÀ NỘI IEC,Peter Brehm GmbH,Đức,20.00,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0
,C00062.1,Bộ khớp háng bán phần không xi măng chuôi chống xoay,Khớp háng toàn phần 21,3,"42,200,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ VÀ VẬT TƯ Y TẾ HÀ NỘI,-Atesos/ Thụy Sỹ,Thụy Sỹ,18.57,70,13,13,1,9,3,0,0,0,0,0,0,0,0,0
,B000210.1,Bộ khớp háng toàn phần không xi măng. chuôi dạng giải phẫu học. góc cổ thân chuôi 126 độ loại 1,Khớp háng toàn phần 12,4,"95,000,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ CỔNG VÀNG,Waldemar Link GmbH & Co. KG,Đức,0.67,150,1,74,1,6,4,5,5,9,4,11,7,10,6,6
,B000211.1,Bộ khớp háng toàn phần không xi măng. chuôi dạng giải phẫu học. góc cổ thân chuôi 126 độ loại 2,Khớp háng toàn phần 13,4,"75,000,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ CỔNG VÀNG,Waldemar Link GmbH & Co. KG,Đức,3.33,30,1,1,1,0,0,0,0,0,0,0,0,0,0,0
,B000212.1,Bộ khớp háng toàn phần không xi măng. chuôi giải phẫu học. góc cổ thân chuôi 126 độ,Khớp háng toàn phần 14,4,"75,000,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ CỔNG VÀNG,Waldemar Link GmbH & Co. KG,Đức,5.00,20,1,1,1,0,0,0,0,0,0,0,0,0,0,0
,B000213.1,Bộ khớp háng toàn phần không xi măng. góc cổ thân chuôi 130 độ loại 4,Khớp háng toàn phần 15,4,"65,000,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ CỔNG VÀNG,Waldemar Link GmbH & Co. KG,Đức,5.00,20,1,1,1,0,0,0,0,0,0,0,0,0,0,0
,B000214.1,Bộ khớp háng toàn phần không xi măng. góc cổ thân chuôi 130 độ loại 3,Khớp háng toàn phần 16,4,"85,000,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ CỔNG VÀNG,Waldemar Link GmbH & Co. KG,Đức,3.00,100,3,3,3,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
"Khớp vai các loại, các cỡ",3,,,,,,,,,,,,,,,,,,,,,,,
,C00057.4,Bộ khớp vai bán phần có xi măng,Khớp vai 1,5,"65,000,000",CÔNG TY CỔ PHẦN DƯỢC PHẨM TRUNG ƯƠNG CODUPHA,"Limacorporate 
 S.p.A",Ý,50.00,10,5,5,5,0,0,0,0,0,0,0,0,0,0,0
,C00056.1,Bộ khớp vai bán phần không xi măng,Khớp vai 2,4,"72,000,000",CÔNG TY CỔ PHẦN DƯỢC PHẨM TRUNG ƯƠNG CODUPHA,"Limacorporate 
 S.p.A",Ý,10.00,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0
,C00057.2,Bộ khớp vai toàn phần không xi măng,Khớp vai 3,7,"81,500,000",CÔNG TY CỔ PHẦN DƯỢC PHẨM TRUNG ƯƠNG CODUPHA,"Limacorporate 
 S.p.A",Ý,33.33,15,5,5,5,0,0,0,0,0,0,0,0,0,0,0
