Loại,Nhóm,Bộ ,,Thành phần trong 1 bộ ,Đơn giá bộ ,Công ty ,Hãng,Nước sản xuất,% thầu 2025,SL thầu,2025,Tổng,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
,A21141,Stent graft bổ sung cho động mạch chủ ngực có khả năng chống gập.,Stent graft ngực loại 6,1,"28,500,000",CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ VNT,"Bolton
Medical, Inc.",Mỹ,0.00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N06.02.070,5,"Stent graft động mạch chủ bụng các loại, các cỡ",,,,,,,,,,,,,,,,,,,,,,
,A21021,Bộ stent graft cho động mạch chủ bụng không đối xứng kèm phụ kiện,Stent graft bụng 1,1,"28,500,000",CÔNG TY CỔ PHẦN THƯƠNG MẠI CỔNG VÀNG,Jotec GmbH,Mỹ,22.86,35,8,8,3,2,3,0,0,0,0,0,0,0,0,0
,A21051,Bộ stent graft điều trị phình động mạch chủ bụng,Stent graft bụng 2,1,"28,500,000",CÔNG TY TNHH VẬT TƯ VÀ TRANG THIẾT BỊ Y TẾ HÀ THÀNH,Medtronic Ireland,Mỹ,8.57,35,3,3,0,1,2,0,0,0,0,0,0,0,0,0
,A21071,Stent Graft bổ sung cho điều trị phình động mạch chủ các loại,Stent graft bụng 3,1,"28,500,000",CÔNG TY TNHH VẬT TƯ VÀ TRANG THIẾT BỊ Y TẾ HÀ THÀNH,Medtronic Ireland,Mỹ,20.00,35,7,7,2,2,3,0,0,0,0,0,0,0,0,0
,A21151,"Bộ stent graft cho động mạch chủ bụng, có khả năng cố định vị trí stent",Stent graft bụng 4,1,"28,500,000",CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ VNT,"Bolton
Medical, Inc.",Mỹ,5.00,20,1,1,0,0,1,0,0,0,0,0,0,0,0,0
,A21161,Stent graft nối dài cho động mạch chậu hoặc dự phòng trường hợp endoleak type I,Stent graft bụng 5,1,"28,500,000",CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ VNT,"Bolton
Medical, Inc.",Mỹ,0.00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N06.02.080,6,"Stent nội mạch làm thay đổi hướng dòng chảy các loại, các cỡ",,,,,,,,,,,,,,,,,,,,,,
,A24011,Khung giá đỡ (stent) chuyển hướng dòng chảy cho can thiệp điều trị phình mạch não. ,Stent đổi dòng loại 1,1,"172,000,000",CÔNG TY CỔ PHẦN Y DƯỢC VÀ CÔNG NGHỆ TUỆ ĐỨC,Acandis,Đức,17.78,90,16,16,3,7,6,0,0,0,0,0,0,0,0,0
,A24021,Khung giá đỡ (stent) mạch não đổi hướng dòng chảy ,Stent đổi dòng loại 2,1,"176,000,000",CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ VNT,"Micro Therapeutics, Inc. dba ev3 Neurovascular",Mỹ,32.50,200,65,65,26,13,26,0,0,0,0,0,0,0,0,0
